production,number_of_movies,domestic_revenue,total_revenue
Closed on Mondays,1,"31,611,316","48,056,764"
Underworld Pictures,1,"31,598,308","68,712,365"
Middle Fork,1,"31,526,393","70,326,393"
C/W Productions,1,"31,418,697","57,577,765"
Sean Bailey,1,"31,111,260","74,120,792"
Cooper Layne,1,"31,111,260","74,120,792"
Farrell Paura Productions,1,"30,932,113","31,157,914"
O.N.C. Entertainment,1,"30,932,113","31,157,914"
606 Films,1,"30,718,107","34,836,080"
Rumble Entertainment,1,"30,718,107","34,836,080"
3DTK Inc.,1,"30,697,999","38,959,900"
Allied,1,"30,695,227","39,235,486"
Andre Rouleau,1,"30,659,817","70,536,870"
Cataland Films,1,"30,617,396","31,575,635"
Lou Pitt,1,"30,207,785","50,409,753"
Ron Shelton,1,"30,207,785","50,409,753"
Mandalay Sports Media,1,"30,127,963","30,138,912"
Starz Animation,1,"30,105,968","67,029,956"
Furst Films,1,"30,101,577","51,445,503"
Charles H. Schneer Productions,1,"30,000,000","44,400,000"
"Green Card Production Company, Inc.",1,"29,804,169","29,804,169"
Banter Films,1,"29,580,087","80,480,566"
Spice Productions,1,"29,342,592","56,042,592"
TokyoPop,1,"29,136,626","84,154,026"
Highroad Productions,1,"28,900,000","28,919,576"
Syco Entertainment,1,"28,873,374","68,541,786"
Modest! Management,1,"28,873,374","68,541,786"
Taylor-Baldecchi-Wimmer,1,"28,782,481","126,704,591"
Radio Silence,1,"28,714,231","56,797,392"
Apatow/Stoller Global Solutions,1,"28,700,285","61,623,819"
Nicita/Lloyd Production,1,"28,607,015","28,607,015"
XCeption Content,1,"28,539,757","40,013,645"
H Brothers,1,"28,539,757","40,013,645"
John Wells Productions,1,"28,212,337","58,757,178"
Gotham Entertainment,1,"28,087,155","86,648,359"
Quick Six Entertainment,1,"28,087,155","86,648,359"
Trans-Radial Pictures,1,"27,778,642","44,264,271"
Tank Caterpillar,1,"27,740,955","54,104,225"
Square Peg,1,"27,426,363","46,843,430"
Goldmann Pictures,1,"27,367,660","130,818,912"
Marc Canton,1,"27,367,660","130,818,912"
Truth Entertainment,1,"27,298,285","60,611,845"
R2 Films,1,"27,298,285","60,611,845"
Langley Films Inc,1,"27,163,593","39,233,233"
A Company,1,"27,108,272","130,673,154"
Cloud Atlas X-Filme Creative Pool Anarchos,1,"27,108,272","130,673,154"
Refugee Films,1,"27,092,880","27,092,880"
Double Edge Entertainment,1,"26,902,075","50,103,808"
Shukovsky English Entertainment,1,"26,902,075","50,103,808"
Equity Pictures Medienfonds GmbH and Co KG IV,1,"26,890,041","44,513,466"
Badwill Entertainment,1,"26,839,498","41,166,033"
IAV International,1,"26,623,701","64,477,051"
Joseph Nittolo Entertainment,1,"26,500,000","43,797,731"
Tower of Babble,1,"26,441,782","47,290,210"
Abishag Producitons,1,"26,414,527","36,197,221"
Shifting Gears Productions,1,"26,402,818","30,997,027"
Starbucks Coffee Company,1,"26,402,818","30,997,027"
What If It Barks Films,1,"26,068,955","53,068,955"
Ninjas Runnin' Wild Productions,1,"26,068,955","53,068,955"
Northmen Productions,1,"26,024,456","57,051,053"
Block/Hanson,1,"25,888,412","35,426,759"
Los Hooligans,1,"25,728,961","25,732,986"
Pony Boy,1,"25,697,647","25,697,647"
SkyLand Entertainment,1,"25,682,380","42,195,766"
Media Home Entertainment,1,"25,504,513","25,504,513"
Smart Egg Pictures,1,"25,504,513","25,504,513"
EMI Music North America,1,"25,326,071","32,700,439"
Perry Production,1,"25,326,071","32,700,439"
Direct Management Group,1,"25,326,071","32,700,439"
IACF,1,"25,317,379","26,001,741"
AB'-Strakt Pictures,1,"25,170,054","27,732,366"
Special Projects,1,"25,138,705","40,454,520"
Imagination Design Works,1,"25,091,816","45,960,255"
"Enelmar Productions, A.I.E.",1,"25,020,758","89,693,309"
Spring Creek,1,"25,020,758","89,693,309"
Aja/Levasseur Productions,1,"25,003,155","83,660,160"
IPW,1,"25,003,155","83,660,160"
Vistar Films,1,"24,922,237","24,922,237"
Mandalay Independent,1,"24,850,922","39,319,801"
BMP Inc,1,"24,850,922","39,319,801"
Grade A Entertainment,1,"24,801,212","36,964,656"
David O. Sacks,1,"24,793,509","40,016,662"
Bonaparte Films,1,"24,793,251","55,193,251"
Overseas Film Group,1,"24,793,251","55,193,251"
The Gruber Brothers,1,"24,793,251","55,193,251"
Mainstream S.A.,1,"24,793,251","55,193,251"
Danny the Dog Ltd,1,"24,537,621","49,037,621"
Qian Yian International,1,"24,537,621","49,037,621"
HitRecord Films,1,"24,477,704","41,268,579"
White Comet Films,1,"24,431,472","32,144,262"
Tom Gorai,1,"24,419,219","24,419,219"
Marc Samuelson,1,"24,419,219","24,419,219"
Akil Productions,1,"24,397,469","24,660,323"
Copag V,1,"24,149,632","60,437,727"
Karla Films,1,"24,149,393","81,452,811"
Necropia,1,"24,046,682","39,126,427"
Miracle Pictures,1,"23,519,128","36,521,223"
Hera,1,"23,418,200","23,418,200"
Sandstorm Films,1,"23,364,784","38,164,784"
Spacedog,1,"23,364,784","38,164,784"
Three N's Production,1,"23,202,734","23,202,734"
Constantin Film International,1,"23,169,033","108,469,033"
John Calley Productions,1,"22,954,968","63,954,968"
Mike Nichols Productions,1,"22,954,968","63,954,968"
Evamere Entertainment,1,"22,951,340","79,604,820"
Circle Arizona Productions,1,"22,847,000","22,847,000"
Famous Artists Productions,1,"22,744,718","41,744,718"
SAS,1,"22,532,572","70,216,497"
Babylon Films,1,"22,532,572","70,216,497"
Babylon A.D.,1,"22,532,572","70,216,497"
75 Year Plan,1,"22,345,542","43,111,846"
Haworth Productions,1,"22,295,024","22,295,024"
Cross Street Films,1,"22,245,070","68,271,146"
Paulilu,1,"22,105,643","46,844,357"
Applebox Entertainment,1,"21,903,748","40,786,480"
6TER,1,"21,858,070","96,890,794"
Cinema Plus,1,"21,756,163","21,756,163"
L.P.,1,"21,756,163","21,756,163"
Brace Cove Productions,1,"21,590,086","31,556,959"
Kopeloff,1,"21,587,519","35,380,918"
TG Media,1,"21,587,519","35,380,918"
Sunlight Productions,1,"21,571,189","21,971,021"
260 Degrees,1,"21,569,509","22,885,836"
DoubleYou,1,"21,502,690","26,853,810"
What Just Happened Productions,1,"21,502,690","26,853,810"
Blair Partnership,1,"21,488,481","76,086,711"
Debra Hill Productions,1,"21,445,318","21,445,820"
Transmission,1,"21,416,355","68,264,973"
Bernd Schaeffers,1,"21,300,000","21,392,049"
Conan Properties International,1,"21,295,021","63,356,133"
The Rank Film Organization,1,"21,284,514","27,688,744"
Youngheart Productions,1,"21,111,825","21,111,825"
FAI Films,1,"21,111,825","21,111,825"
Mundy Lane,1,"21,078,145","23,367,586"
Todd Black,1,"21,078,145","23,367,586"
Fogwood,1,"21,032,000","21,032,000"
Ten Thirteen,1,"20,982,478","68,170,792"
Cinecom,1,"20,966,644","20,966,644"
Imagenation Abu Dhabi,1,"20,919,166","29,870,801"
Mutiny FX,1,"20,773,069","23,551,286"
Henson Alternative,1,"20,706,452","27,506,412"
Lightspeed Media Productions,1,"20,668,843","25,044,057"
Big City Pictures,1,"20,668,843","25,044,057"
MMoney,1,"20,668,843","25,044,057"
Grand Army Entertainment,1,"20,668,843","25,044,057"
Detroit Pictures,1,"20,591,853","20,688,141"
1978 Films,1,"20,497,844","40,651,864"
NEF Productions,1,"20,377,913","139,877,913"
Prairie Home Productions,1,"20,342,852","26,716,191"
A Lion Share,1,"20,225,989","20,225,989"
Axon Films,1,"20,211,394","27,911,453"
Gary Fleder,1,"20,158,492","51,695,362"
Trevor Albert Productions,1,"20,133,326","20,133,326"
Steve Carr,1,"20,007,149","23,311,293"
Silverscreen Partners,1,"19,875,740","19,875,740"
Odd Lot Entertainment,1,"19,806,188","39,006,188"
"Betsy's Wedding, Inc.",1,"19,740,070","19,740,070"
Henry Winkler,1,"19,739,000","19,739,000"
Allen Hughes,1,"19,701,164","34,480,045"
Curtis Hanson,1,"19,389,454","33,422,485"
Terra Firma Films,1,"19,219,250","34,787,111"
Superfinger Entertainment,1,"19,219,250","34,787,111"
Management 360,1,"19,219,250","34,787,111"
DY Media Partners,1,"19,192,510","151,496,097"
Mitsubishi,1,"19,192,510","151,496,097"
Two Brothers Productions,1,"19,176,754","62,176,754"
Jonas Films,1,"19,162,740","30,428,831"
The Luminary Group,1,"19,115,191","23,745,772"
Trinica,1,"19,115,191","23,745,772"
Trinity Race,1,"19,115,191","23,745,772"
The Jesse Owens Foundation,1,"19,115,191","23,745,772"
David Ladd Films,1,"19,076,815","33,076,815"
Soli Deo Gloria,1,"19,005,109","21,050,681"
BECO,1,"19,000,000","19,000,000"
AA Films,1,"18,985,794","263,502,914"
Arka Media Works,1,"18,985,794","263,502,914"
Next Films,1,"18,877,153","18,877,153"
Lutzus-Brown,1,"18,656,400","41,699,612"
Orly Films,1,"18,653,746","58,394,308"
Icon Entertainment,1,"18,542,974","31,341,183"
Work After Midnight,1,"18,450,127","20,790,486"
Lauren Shuler Productions,1,"18,400,000","18,400,000"
Decca,1,"18,388,357","56,178,935"
Down Prods,1,"18,335,230","60,217,171"
Darlow Smithson,1,"18,335,230","60,217,171"
Nominated Films,1,"18,317,151","20,606,053"
PWP,1,"18,119,640","42,411,721"
Goddard Textiles,1,"17,839,115","29,199,399"
Picked Last,1,"17,807,569","17,807,569"
Alive Entertainment,1,"17,744,685","35,871,031"
Bekmambetov Projects,1,"17,686,929","26,517,819"
Goldsmith-Thomas,1,"17,657,973","17,657,973"
Alexander/Mitchell,1,"17,616,641","48,543,388"
Outside Da Box Films,1,"17,547,999","25,529,498"
Silent Hill 2 DCP,1,"17,530,219","55,975,672"
Konami,1,"17,530,219","55,975,672"
Samuel Hadida,1,"17,530,219","55,975,672"
Robert Fox,1,"17,510,118","50,578,411"
I Am Other Entertainment,1,"17,506,470","18,190,831"
Revolt Films,1,"17,506,470","18,190,831"
Adams Apple Film Company,1,"17,488,564","17,488,564"
An Egg Pictures Production,1,"17,468,887","22,119,269"
Ragtime Productions (U.K.),1,"17,468,158","17,468,158"
Ragtime Productions,1,"17,468,158","17,468,158"
Rowe Miller Productions,1,"17,445,186","26,308,749"
Robotproof,1,"17,418,667","27,704,111"
Apex Entertianment,1,"17,395,521","18,148,091"
Paul Hall,1,"17,390,770","17,499,242"
Endgame Releasing,1,"17,329,487","21,206,861"
Hot Dog,1,"17,288,155","24,159,934"
Price Entertainment,1,"17,239,789","17,239,789"
Penta Entertainment,1,"17,239,789","17,239,789"
AMG,1,"17,231,291","18,608,570"
Gross Entertainment,1,"17,231,291","18,608,570"
Kingsmere Productions Ltd.,1,"17,218,000","17,381,173"
1000 Eyes,1,"17,156,058","33,216,217"
Splash Entertianment,1,"17,062,499","30,535,660"
Maysville Pictures,1,"16,991,902","19,317,765"
Brut Productions,1,"16,800,000","16,800,000"
Valley 9000 Productions,1,"16,800,000","16,800,000"
Atlantic Releasing Corp.,1,"16,800,000","16,800,000"
South Fork Pictures,1,"16,756,372","55,029,200"
Noel Gay Motion Picture Company,1,"16,501,785","71,558,971"
Crazy Ape,1,"16,432,322","17,159,530"
Hughes/Silver,1,"16,316,258","16,316,258"
Allan Zeman Productions,1,"16,298,046","30,443,277"
Midsummer Films,1,"16,298,046","30,443,277"
Dubiecki,1,"16,204,793","31,943,401"
Novick,1,"16,204,793","31,943,401"
Five Star Feature Films,1,"16,131,410","43,402,515"
If Entertainment,1,"16,131,410","43,402,515"
Infinity Entertainment,1,"15,861,566","16,891,011"
Hit 55 Ventures,1,"15,861,566","16,891,011"
Oster Media,1,"15,861,566","16,891,011"
Point Made Films,1,"15,861,566","16,891,011"
O’Connor Brothers,1,"15,740,721","43,440,721"
Largo Entertainment,1,"15,545,115","15,545,115"
R.P. Films,1,"15,541,549","65,532,491"
Elfte Babelsberg Film GmbH,1,"15,541,549","65,532,491"
Legend Productions,1,"15,502,112","23,506,237"
Chislehurst Entertainment,1,"15,472,775","18,472,775"
Bank Leumi,1,"15,436,808","20,718,104"
Fothergill-Scholey Productions,1,"15,428,747","22,946,607"
Two Continental Films,1,"15,382,170","36,682,170"
Pangaea Holdings,1,"15,382,170","36,682,170"
Savoy Pictures,1,"15,382,170","36,682,170"
IEG Virtual Studios,1,"15,298,133","46,598,133"
Kevin Messick Productions,1,"15,122,676","15,297,318"
Cinerenta,1,"15,007,991","27,147,991"
Metropolitan Films,1,"14,945,541","39,238,443"
Rose Line Productions Limited,1,"14,828,555","34,983,342"
Duperele Films,1,"14,677,674","36,262,783"
Undisputed Cinema,1,"14,618,727","14,618,727"
Film Futures,1,"14,564,000","14,575,148"
Cinemarque Entertainment BV,1,"14,564,000","14,575,148"
MacGillivray Freeman,1,"14,555,206","19,076,880"
One World One Ocean,1,"14,555,206","19,076,880"
"AmericaFilm, LLC",1,"14,444,502","14,444,502"
Harry J. Ulfand,1,"14,378,353","14,378,353"
Ron Bass,1,"14,378,353","14,378,353"
Finnegan,1,"14,278,900","14,278,900"
Pinchuk,1,"14,278,900","14,278,900"
"Frank Mancuso, Jr. Production",1,"14,110,589","14,110,589"
Stoney Lake Entertainment,1,"14,019,924","20,769,209"
Random House Films,1,"13,843,771","59,168,692"
Aldamisa Films,1,"13,757,804","40,650,842"
Illusion Entertainment Group,1,"13,668,249","34,668,249"
Filmtribe,1,"13,657,115","24,215,385"
SNL Studios,1,"13,592,872","13,719,474"
Jennifer Todd Pictures,1,"13,590,514","14,570,927"
Film Tribe,1,"13,590,514","14,570,927"
Charles Shyer,1,"13,395,939","35,195,939"
Andrea Leone Films,1,"13,103,272","27,805,632"
Ecelectic Pictures,1,"13,103,272","27,805,632"
Quality Flix,1,"13,099,931","13,099,931"
Vincent Pictures,1,"13,077,184","18,889,972"
Rye Road,1,"13,077,184","18,889,972"
Child Hoods,1,"13,024,170","13,024,170"
Big Idea,1,"12,981,269","13,248,444"
The Combine,1,"12,786,053","24,403,192"
Eye for an Eye Filmworks,1,"12,739,737","16,610,760"
Tazora Films,1,"12,739,737","16,610,760"
"The Virginia Company, LLC",1,"12,712,093","26,184,400"
Larkhark Films Limited,1,"12,711,491","42,666,442"
Stratus Film Company,1,"12,589,255","17,300,838"
Forst Films,1,"12,589,255","17,300,838"
Cameron/Pace Group,1,"12,512,862","28,012,862"
James Cameron,1,"12,512,862","28,012,862"
Cirque du Soleil,1,"12,512,862","28,012,862"
Keylight Entertainment,1,"12,313,694","15,172,953"
Breakup,1,"12,232,382","12,512,317"
Portman Entertainment,1,"12,178,602","27,786,849"
Homerun Productions,1,"12,178,602","27,786,849"
Sky Pictures,1,"12,178,602","27,786,849"
WAVEpictures,1,"12,178,602","27,786,849"
Wattpad,1,"12,138,565","58,090,525"
EFTI,1,"12,134,935","28,270,399"
"Project Darjeeling, Inc.",1,"11,902,715","35,077,571"
Rakija Films,1,"11,901,145","18,067,151"
20th Century Fox Television,1,"11,862,398","17,462,398"
The Mirisch Company,1,"11,744,471","11,972,561"
Archer Street,1,"11,634,362","43,153,588"
Delux Productions,1,"11,634,362","43,153,588"
Crosby Films,1,"11,614,954","11,614,954"
Hart Sharp,1,"11,540,607","20,741,000"
Independent Film Channel,1,"11,540,607","20,741,000"
Rat Pack Film Produktion,1,"11,528,613","23,540,937"
Blackjack Films,1,"11,511,323","11,778,396"
Summa Entertainment Group,1,"11,377,655","11,377,655"
Y.O.Y.,1,"11,318,100","11,318,100"
Hallstrom/Holleran,1,"11,304,403","36,204,403"
Revision Pictures,1,"11,114,018","66,542,904"
Senator Global Productions,1,"11,114,018","66,542,904"
Micro-Fusion,1,"11,036,366","27,836,366"
Heyman-Hoskins Productions,1,"11,036,366","27,836,366"
Frostbacks,1,"10,982,364","10,982,364"
Frequency Films,1,"10,895,295","19,599,974"
Ternion Entertainment,1,"10,823,158","10,849,158"
F+A Productions,1,"10,823,158","10,849,158"
Amma Asante,1,"10,726,630","16,511,348"
Laila Nabulsi,1,"10,680,275","13,711,903"
Prone Gunman Limited,1,"10,664,749","18,594,227"
Prone Gunman AIE,1,"10,664,749","18,594,227"
Fade to Black Productions,1,"10,663,357","32,398,681"
Capella,1,"10,571,408","10,571,408"
KC Medien,1,"10,571,408","10,571,408"
Ske-Dat-De-Dat Productions,1,"10,534,510","33,518,508"
Jelly Roll Productions Ltd.,1,"10,525,717","40,103,262"
Hal B. Wallis,1,"10,462,500","10,498,348"
Four Boys Entertainment,1,"10,429,707","10,537,341"
Knock Films,1,"10,319,915","10,319,915"
A.V.V. Worldwide,1,"10,319,915","10,319,915"
Val D’Doro Entertainment,1,"10,319,915","10,319,915"
Mistral Worldwide Company,1,"10,229,300","10,229,300"
European Film Productions,1,"10,214,647","17,443,529"
Rambler Entertainment,1,"10,205,616","10,220,614"
Kanbar Entertainment,1,"10,143,779","23,353,111"
Gimages Films,1,"10,130,108","24,021,282"
Headforce Ltd,1,"10,130,108","24,021,282"
Chestnut Ridge Productions,1,"10,051,659","10,116,816"
Hudlin Entertainment,1,"10,051,659","10,116,816"
Melee Entertainment,1,"10,027,047","10,172,519"
Next Day Air Productions,1,"10,027,047","10,172,519"
Secret Society Films,1,"10,027,047","10,172,519"
The Hideaway Entertainment,1,"10,021,787","29,187,676"
AnnaBell Pictures,1,"10,021,787","29,187,676"
Mikado,1,"10,019,109","10,019,109"
Type A Films,1,"10,011,996","21,375,166"
Magnum Motion Pictures,1,"10,000,000","10,000,000"
Analysis Film Corporation,1,"10,000,000","10,000,000"
Brazil Productions,1,"9,929,135","9,932,146"
Chrysler,1,"9,737,892","16,566,240"
Shade Pictures,1,"9,737,892","16,566,240"
Cottage Industries,1,"9,737,892","16,566,240"
Double Guess,1,"9,619,500","21,132,855"
Electric Pictures,1,"9,619,500","21,132,855"
Spark Film & TV,1,"9,599,982","18,731,409"
Rickard Pictures,1,"9,561,064","22,159,409"
TableTop Films,1,"9,511,289","11,655,619"
Mandoo Pictures,1,"9,420,546","24,148,488"
Huayi Tencent Entertainment Company,1,"9,420,546","24,148,488"
Eracme Entertainment,1,"9,420,546","24,148,488"
West Egg,1,"9,369,755","15,952,688"
Frankie Films,1,"9,369,329","9,369,329"
Class 5 Films,1,"9,277,736","18,132,937"
Matalon Teper Ohlsson,1,"9,170,214","9,170,214"
Huevocartoon Producciones,1,"9,080,818","26,072,723"
Spirit Dance,1,"9,055,010","10,419,084"
No Frills Film,1,"9,000,000","9,000,000"
Earthship,1,"8,968,684","12,765,684"
Mirabai Films,1,"8,874,389","10,055,481"
Film Financial Services,1,"8,813,410","14,365,639"
Blockade,1,"8,813,410","14,365,639"
"TBP, Inc",1,"8,742,000","8,742,000"
VIP Medienfonds 1+2,1,"8,580,428","46,285,504"
Target Media,1,"8,580,428","46,285,504"
Nebulastar Films,1,"8,547,045","13,008,804"
Summertime Entertainment,1,"8,462,347","20,107,933"
Storm King,1,"8,434,601","8,434,601"
TEM Programs International,1,"8,316,206","8,316,206"
Mike Medavoy Productions,1,"8,224,288","10,551,417"
Kabir Khan Films,1,"8,178,001","121,778,347"
Joanne Sellar,1,"8,110,975","14,772,346"
Fresh Production,1,"8,094,616","8,094,616"
MHF Zweite Academy Film,1,"8,050,977","10,157,534"
Arcane Pictures,1,"8,020,721","9,681,975"
Illuminata Pictures,1,"8,005,586","42,446,455"
Paul Maslansky Productions,1,"8,000,000","8,000,000"
Fryer Carr and Harris,1,"8,000,000","8,000,000"
LB Productions,1,"7,919,574","35,830,713"
Alvernia Studios,1,"7,919,574","35,830,713"
On My Own,1,"7,916,887","9,676,497"
National Aeronautics and Space Administration,1,"7,895,708","8,325,995"
Preger Entertainment,1,"7,791,979","7,834,825"
Waters Brothers,1,"7,791,979","7,834,825"
TMC,1,"7,743,794","30,918,091"
Premise Media Corporation,1,"7,720,487","7,720,487"
McKinney Underwater Productions,1,"7,714,996","17,252,287"
Poo Poo Pictures,1,"7,689,607","64,352,607"
Impix Inc.,1,"7,683,267","7,683,267"
Republic Pictures,1,"7,600,000","7,600,000"
SPZ Entertainment,1,"7,578,946","28,058,652"
Pricel,1,"7,578,946","28,058,652"
Les Films Action,1,"7,578,946","28,058,652"
Bolex Brothers,1,"7,578,946","28,058,652"
Panda Productions,1,"7,574,012","7,807,825"
IMAX Documentary Films Capital,1,"7,574,012","7,807,825"
Jin Yi Culture Investment,1,"7,574,012","7,807,825"
Howard W. Koch,1,"7,564,608","7,564,608"
E Stars Distribution,1,"7,388,654","16,340,767"
LTBL Productions,1,"7,233,471","7,241,309"
YLK,1,"7,100,177","23,726,626"
G and G,1,"7,100,177","23,726,626"
Fabricia de Cine,1,"7,100,177","23,726,626"
SharpSword Films,1,"7,100,177","23,726,626"
Percy Main,1,"7,099,531","7,099,531"
Parasgard Bank,1,"7,098,492","24,426,169"
Asia Pacific Screen Awards,1,"7,098,492","24,426,169"
MPower Distribution,1,"7,013,191","7,022,183"
Universal-Zanuck,1,"7,000,000","7,000,000"
Schmitdtz Katz Filmkollektiv,1,"6,994,218","16,692,775"
Zebra Film Studio,1,"6,994,218","16,692,775"
The Film Works,1,"6,994,218","16,692,775"
Mandolin Entertainment,1,"6,916,869","6,916,869"
Kylin Pictures,1,"6,901,965","7,220,490"
Anomally Entertainment,1,"6,901,965","7,220,490"
Mini-treaty Canada-France,1,"6,857,096","16,038,343"
TS Prods,1,"6,857,096","16,038,343"
Phi Group,1,"6,857,096","16,038,343"
Kill The Head,1,"6,782,066","14,921,389"
Samuels Media,1,"6,777,741","24,489,150"
Paradigm Hyde Films,1,"6,759,422","19,168,295"
Tale Partnerships,1,"6,759,422","19,168,295"
Rhode Island Ave.,1,"6,758,416","9,266,180"
Breakthru Films,1,"6,735,118","44,357,515"
127 Wall,1,"6,708,137","13,316,627"
Another Park Film,1,"6,670,765","43,226,146"
Block 2 Pictures,1,"6,594,959","57,987,299"
Jet Tone Films,1,"6,594,959","57,987,299"
"Winter's Bone Productions, LLC.",1,"6,531,503","16,131,551"
Dirty Hands,1,"6,487,257","6,487,257"
Metanoia Films,1,"6,485,961","17,769,299"
Sweetheart Productions,1,"6,401,297","26,000,000"
State Run Films,1,"6,352,306","6,653,715"
Neue Constantin,1,"6,217,413","6,217,413"
Island Def Jam Music Group,1,"6,206,566","32,226,781"
Bieber Time Films,1,"6,206,566","32,226,781"
Rink Rat,1,"6,170,998","9,735,879"
Screen Door,1,"6,170,998","9,735,879"
Globus,1,"6,154,944","6,154,944"
Pearce,1,"6,154,944","6,154,944"
Windfall Productions,1,"6,115,824","30,963,684"
Double Negative Films,1,"6,115,824","30,963,684"
Still Rolling Productions,1,"6,046,104","7,691,967"
Harrison Productions,1,"6,046,104","7,691,967"
Reisman Productions,1,"6,046,104","7,691,967"
Barnette / Thayer,1,"6,008,677","24,742,844"
Material Entertainment,1,"6,003,262","33,512,260"
Woestijnvis,1,"6,002,684","9,154,831"
Stephen Nemeth,1,"6,002,451","11,495,204"
Such Much Films,1,"6,002,451","11,495,204"
Judi Levine,1,"6,002,451","11,495,204"
Jon Kilik,1,"5,990,075","22,754,472"
Atlantic Entertainment Group,1,"5,979,011","5,979,011"
Filmrights,1,"5,978,673","11,092,424"
Lightfuse,1,"5,958,315","9,186,073"
Gettaway,1,"5,958,315","9,186,073"
Panzer,1,"5,900,000","12,900,000"
Thorn EMI,1,"5,900,000","12,900,000"
Beijing Jingxi Culture and Tourism Company,1,"5,875,487","688,934,822"
KG,1,"5,845,732","12,407,491"
Efcine,1,"5,842,961","13,725,819"
AIC Movie Inc,1,"5,801,249","9,625,111"
"Lucky You Pictures, Inc.",1,"5,755,286","6,521,829"
Vision 3,1,"5,751,141","10,894,223"
CVFX,1,"5,751,141","10,894,223"
On Sight,1,"5,751,141","10,894,223"
Image Abu Dhabi,1,"5,749,134","8,846,875"
Mystic Point Productions,1,"5,676,110","8,092,857"
The Mob Film Company,1,"5,676,110","8,092,857"
Nelly Films Limited,1,"5,676,110","8,092,857"
New Land Films,1,"5,669,081","10,026,255"
Fuse+Media and Culture,1,"5,666,340","8,514,325"
Unplugged Studios,1,"5,666,340","8,514,325"
Boram Entertainment,1,"5,666,340","8,514,325"
Mike's Movies/OzWorks,1,"5,666,340","8,514,325"
Wellmade Star M,1,"5,666,340","8,514,325"
Modern People,1,"5,664,763","7,144,888"
USA Films,1,"5,658,940","5,658,940"
Republic Entertainment International,1,"5,622,787","5,622,787"
El Gobierno del Estado de Sonora,1,"5,571,497","5,571,497"
Dream Management and Entertainment,1,"5,571,497","5,571,497"
Filmlink International,1,"5,519,569","5,519,569"
TMP,1,"5,437,971","5,983,043"
Filmpool Stockholm,1,"5,427,684","41,179,660"
Malardalen,1,"5,427,684","41,179,660"
Eos Pictures,1,"5,359,774","21,197,454"
American Family Studios,1,"5,355,847","5,391,992"
Sakonnet Capital Partners,1,"5,353,586","20,433,227"
Endangered Film Company,1,"5,274,950","5,274,950"
"Palm Pictures, LLC",1,"5,241,315","5,241,315"
Taika Waititi,1,"5,205,471","23,127,183"
KDDI Corporation,1,"5,201,879","117,924,700"
Menage Atroz,1,"5,101,237","24,687,524"
Producciones Mod,1,"5,101,237","24,687,524"
Younger Than You Productions,1,"5,083,906","7,171,320"
Sweetland Films,1,"5,078,660","6,200,000"
Hello Junior,1,"5,059,608","5,103,675"
Martin Ransohoff,1,"5,017,811","23,017,811"
Temolo Productions,1,"4,946,250","5,892,466"
Gil Friesen,1,"4,946,250","5,892,466"
Temple Films,1,"4,890,878","25,218,042"
PFP Films,1,"4,890,878","25,218,042"
L + E Pictures,1,"4,886,216","4,934,104"
Night Chills,1,"4,875,436","4,875,436"
Victoires International,1,"4,857,374","5,175,088"
Pirol Film Productions,1,"4,857,374","5,175,088"
Dawn Parouse,1,"4,816,142","4,816,142"
Camp Entertainment,1,"4,809,800","12,991,509"
Big Hit Entertainment,1,"4,809,800","12,991,509"
Great Scott Productions,1,"4,806,750","25,941,437"
Deep Underground Films,1,"4,799,774","9,371,036"
Serprocor Anstalt,1,"4,793,587","7,793,587"
Boll KG Productions,1,"4,775,656","13,233,220"
Herold Productions,1,"4,775,656","13,233,220"
Saunders & French,1,"4,772,155","35,672,155"
Boomtown Films,1,"4,719,928","4,847,151"
Panama Film Commission,1,"4,712,792","5,031,975"
Lift Productions,1,"4,694,491","6,176,114"
Rifkin Eberts,1,"4,598,506","12,850,033"
Hideout Pictures,1,"4,589,490","4,710,507"
Intercut Capital,1,"4,589,490","4,710,507"
Mewesings,1,"4,589,490","4,710,507"
Apocalypso Pictures,1,"4,580,048","19,376,131"
Opus Picture,1,"4,563,029","86,895,025"
Longshot Features,1,"4,515,719","4,607,064"
Als Records and Tapes,1,"4,450,454","7,293,165"
Time,1,"4,450,454","7,293,165"
Andy Paterson,1,"4,438,438","23,910,210"
Trinifold,1,"4,438,438","23,910,210"
The Directors Company,1,"4,420,000","4,420,000"
"Duly Noted, Inc.",1,"4,404,154","5,403,771"
Polar,1,"4,398,989","4,398,989"
Motel Films,1,"4,398,532","27,238,354"
Hector BV,1,"4,398,532","27,238,354"
Clockwork Pictures,1,"4,398,532","27,238,354"
Marmont Film Financing,1,"4,398,532","27,238,354"
Memphis Mountaintop Media,1,"4,376,820","4,376,820"
New Vision,1,"4,376,820","4,376,820"
Liquid Soul,1,"4,376,820","4,376,820"
Erica Messer Productions,1,"4,367,816","5,292,220"
FarmLore Films,1,"4,367,816","5,292,220"
Chester Films,1,"4,367,816","5,292,220"
Rajshri Productions,1,"4,364,639","47,764,639"
Bellwether Films,1,"4,328,850","4,328,850"
"LAPI Productions, Inc.",1,"4,235,837","16,829,464"
NFDC,1,"4,231,500","15,517,886"
Grandview Pictures,1,"4,221,817","8,503,459"
Vingt Deux Heures Vingt Deux,1,"4,212,494","11,846,010"
Astrakan Films AB,1,"4,210,454","5,837,111"
Fear of God Films,1,"4,200,117","31,054,727"
Assassin Films,1,"4,170,647","30,438,635"
