production,number_of_movies,domestic_revenue,total_revenue
Phoenix Pictures,17,"526,092,393","1,479,968,171"
Rogue Pictures,17,"489,302,777","961,548,424"
Disney Nature,17,"151,613,280","333,621,946"
Creative Wealth Media Finance,17,"69,756,092","107,068,019"
Studio Ghibli,17,"57,535,265","1,046,420,003"
CNN Films,17,"30,668,534","34,953,010"
Washington Square Films,17,"17,997,104","40,373,519"
South Australian Film Corp.,17,"13,490,938","49,152,081"
Le Pacte,17,"6,524,447","88,048,508"
The Match Factory,17,"4,830,856","37,736,194"
Sundance Selects,17,"4,424,504","24,246,087"
ZDF/ARTE,17,"3,693,066","11,425,216"
Submarine Entertainment,17,"3,386,691","5,848,522"
Ford Foundation,17,"2,702,441","3,289,991"
Les Films du Worso,17,"1,592,872","20,257,081"
Dark Sky Films,17,"111,641","1,886,622"
Larry Levinson Productions,17,0,0
Ingenious Film Partners,16,"1,509,413,779","5,049,001,755"
Mosaic Media,16,"1,014,350,243","1,718,249,969"
Bluegrass Films,16,"947,131,337","2,135,613,145"
Weed Road Pictures,16,"906,715,071","2,289,707,152"
Playtone,16,"875,269,950","2,080,246,487"
Atomic Monster,16,"602,441,306","1,736,171,352"
Image Nation Abu Dhabi,16,"475,587,858","909,473,247"
Endgame Entertainment,16,"249,904,237","532,118,590"
Blueprint Films,16,"186,235,416","545,626,765"
Pure Flix,16,"181,268,092","196,276,908"
Bold Films,16,"146,342,647","286,290,693"
RT Features,16,"114,830,939","244,129,470"
Riverstone Pictures,16,"85,954,540","150,724,697"
Myriad Pictures,16,"11,298,117","34,596,698"
Maven Pictures,16,"9,968,799","23,728,103"
Rhone-Alpes Cinema,16,"3,317,205","38,661,624"
Jigsaw Productions,16,"2,234,109","5,199,454"
Donners’ Company,15,"1,797,626,246","4,551,841,242"
Sunswept Entertainment,15,"1,632,914,506","3,926,522,745"
Blue Sky Studios,15,"1,545,098,142","5,037,721,061"
Dentsu Inc.,15,"1,062,434,079","4,013,780,054"
Hollywood Pictures,15,"804,897,397","1,666,392,590"
Michael De Luca,15,"768,277,345","2,205,561,065"
Warner Animation Group,15,"682,301,274","1,354,499,072"
Good Universe,15,"532,850,614","866,616,185"
Montecito Picture Company,15,"494,456,516","900,314,516"
STX Entertainment,15,"433,669,642","727,221,186"
Toho Co,15,"276,150,942","1,279,179,047"
DNA Films,15,"204,824,891","508,182,402"
Big Beach,15,"164,194,981","227,014,504"
Snoot Entertainment,15,"50,163,203","86,065,174"
Pulse Films,15,"26,867,595","47,096,005"
PBS,15,"25,687,893","28,322,506"
Recorded Picture Company,15,"23,705,875","109,852,660"
Embankment Films,15,"16,644,725","80,346,296"
UTV Communications,15,"15,183,341","222,949,833"
MK2,15,"8,472,691","41,966,761"
Duplass Brothers,15,"8,262,995","9,149,719"
Vertical Entertainment,15,"4,833,117","5,570,730"
Shanghai Film Group,15,"3,330,276","574,031,482"
SWR,15,"2,840,101","15,062,758"
Sundance Institute Documentary Film Program,15,"775,969","1,055,764"
Blue Fox Entertainment,15,"560,652","964,624"
Hasbro Studios,14,"1,755,071,351","4,913,495,236"
Centropolis Entertainment,14,"1,229,431,531","3,608,734,871"
Benderspink Productions,14,"685,402,199","1,182,032,324"
Reliance BIG Entertainment,14,"584,336,381","1,168,625,825"
MARV Films,14,"508,975,133","1,446,324,011"
STX Films,14,"395,674,712","595,224,369"
HBO Films,14,"369,323,308","873,656,071"
Topic,14,"65,095,996","115,123,585"
Dharma Productions,14,"33,737,879","369,983,404"
Rhombus Media,14,"18,054,744","24,436,778"
Revolution Films,14,"17,153,455","38,729,219"
Zentropa Entertainments,14,"10,310,670","80,037,096"
Artemis Rising Foundation,14,"9,815,060","16,178,448"
Swedish Film Institute,14,"8,284,611","49,688,351"
SBS Productions,14,"6,847,980","67,967,611"
Les Films du Fleuve,14,"6,760,013","77,520,933"
New Zealand Film Commission,14,"6,070,346","31,190,744"
Memento Films International,14,"2,989,927","69,995,412"
Film- und Medienstiftung NRW,14,"2,118,260","58,416,669"
Music Box Films,14,"1,778,498","24,662,745"
Anchor Bay Films,14,"383,891","3,856,474"
Color Force,13,"1,780,595,298","3,471,298,525"
ImageMovers,13,"1,007,026,636","1,954,852,025"
Media Rights Capital,13,"580,236,863","1,457,114,591"
Broken Road,13,"548,166,999","1,116,662,983"
3 Arts Entertainment,13,"523,672,019","991,068,562"
The Mark Gordon Company,13,"503,601,298","1,427,743,692"
Hartbeat Productions,13,"459,277,791","1,077,289,360"
M6 Films,13,"444,035,404","1,244,413,500"
Leverage,13,"438,052,286","663,026,102"
American Zoetrope,13,"326,189,927","688,814,236"
Emmett/Furla Films,13,"309,680,505","559,725,032"
Dark Castle Entertainment,13,"307,626,025","554,165,562"
Big Talk Pictures,13,"264,793,759","610,411,207"
Rough House Pictures,13,"190,876,331","296,558,679"
Depth of Field,13,"188,498,747","537,796,322"
Bona Fide,13,"169,218,250","296,981,676"
Demarest Films,13,"108,165,971","255,696,585"
Merchant Ivory Productions,13,"78,086,621","122,131,065"
RadicalMedia,13,"61,379,693","92,728,935"
30 West,13,"56,796,854","105,978,787"
Mandalay Pictures,13,"52,564,860","90,338,731"
Broad Green Pictures,13,"45,574,122","66,128,467"
Baby Cow,13,"45,267,651","124,487,517"
Orange Studio,13,"44,146,020","252,279,273"
Number 9 Films,13,"29,434,767","129,814,154"
The Netherlands Film Fund,13,"24,144,074","50,900,750"
Circle of Confusion,13,"18,219,217","35,277,693"
UTV Motion Pictures,13,"17,979,143","147,465,936"
Polish Film Institute,13,"8,896,043","77,122,790"
DR,13,"6,799,800","70,588,034"
Burn Later,13,"3,188,979","3,342,259"
Just Films,13,"2,453,576","3,030,028"
Procirep,13,"1,511,917","29,965,885"
Kino Lorber,13,"1,029,732","6,479,959"
Media House Capital,13,"834,382","2,189,498"
Indican Pictures,13,"624,324","624,324"
Unified Pictures,13,"380,916","1,852,921"
American Express,13,"198,580","217,413"
Yale Productions,13,"74,712","117,487"
Illumination Entertainment,12,"2,610,573,965","6,720,546,862"
Wingnut Films,12,"2,026,409,907","6,308,739,568"
Zancuk Company,12,"1,587,742,375","3,834,857,681"
Judd Apatow,12,"1,086,897,505","1,466,591,714"
Pascal Pictures,12,"945,921,942","2,651,872,647"
De Line Pictures,12,"806,456,341","1,713,385,180"
Point Grey,12,"683,613,796","1,041,682,771"
Mad Chance,12,"632,323,793","1,190,477,651"
Morgan Creek Productions,12,"607,381,436","1,042,703,041"
Closest to the Hole,12,"567,778,053","858,583,611"
Di Novi Pictures,12,"530,457,978","830,125,497"
Saturn Films,12,"524,753,235","1,177,010,808"
Beacon Pictures,12,"478,678,207","874,362,378"
Pariah Productions,12,"369,182,502","772,577,941"
Huayi Brothers Pictures Ltd,12,"349,346,114","763,576,731"
Affirm Films,12,"349,118,026","391,935,374"
Wonderland Sound and Vision,12,"339,697,891","768,612,926"
Exclusive Media Group,12,"266,036,687","596,453,837"
Davis Films,12,"247,311,099","1,238,993,918"
Bona Film Group,12,"247,040,806","1,225,536,933"
Gotham Group,12,"242,459,865","925,586,362"
Alliance Films,12,"220,917,826","429,000,838"
Imperative Entertainment,12,"145,913,124","260,620,190"
Macro Media,12,"123,183,970","145,583,199"
Material Pictures,12,"113,961,989","218,217,311"
Waypoint Entertainment,12,"109,851,941","203,708,293"
Groundswell Productions,12,"104,558,314","164,247,883"
Neon Films,12,"88,415,168","311,584,221"
Electric Entertainment,12,"84,714,916","304,384,794"
Studio 37,12,"54,202,137","223,295,803"
Fox International Productions,12,"25,667,803","149,056,736"
Scythia Films,12,"25,239,700","44,368,639"
Echo Lake Entertainment,12,"24,068,633","62,385,819"
Nadiadwala Grandson Entertainment,12,"22,617,471","52,443,367"
Cold Iron Pictures,12,"14,976,291","20,330,417"
Elevation Pictures,12,"12,032,924","12,568,141"
Diamond Docs,12,"10,351,778","18,943,307"
T-Series,12,"5,737,129","16,806,503"
Sixteen Films,12,"5,644,853","72,571,840"
Morena Films,12,"4,072,004","92,639,044"
Piccadilly Pictures,12,"3,087,327","17,491,761"
DR Nordisk Film & TV Fond,12,"3,022,773","16,646,273"
Quickfire Fimls,12,"1,644,693","35,169,629"
Creative Europe,12,"1,574,582","7,475,499"
Bow & Arrow,12,"1,351,748","1,770,857"
120dB Films,12,"1,228,324","4,931,909"
British Film Company,12,"415,545","16,584,559"
Patriot Pictures,12,"234,842","1,434,626"
Bankside Films,12,"175,572","4,716,731"
Screen Media Films,12,"154,883","246,510"
Roth Films,11,"1,419,041,127","3,910,492,752"
One Race Films,11,"1,141,774,168","4,747,567,486"
Tencent Pictures,11,"998,612,917","2,929,585,637"
20th Century Fox Animation,11,"903,296,507","2,649,343,283"
Icon Productions,11,"752,171,349","1,306,900,514"
Big Screen Prods,11,"726,109,547","2,285,877,791"
Troublemaker Studios,11,"600,283,124","1,371,465,183"
Tyler Perry Studios,11,"566,109,847","594,121,779"
Image Nation,11,"473,309,751","1,380,111,234"
Black Label Media,11,"317,300,017","708,974,203"
Misher Films,11,"313,428,319","664,329,394"
Double Feature Films,11,"298,535,978","519,627,837"
PolyGram Filmed Entertainment,11,"282,715,140","827,569,918"
Impact Pictures,11,"274,080,843","1,369,788,855"
IMAX Corporation,11,"263,901,972","392,854,965"
State Street Pictures,11,"246,210,399","273,975,632"
River Road Entertainment,11,"224,315,604","725,250,569"
Provident Films,11,"212,410,870","222,646,630"
Studio Babelsberg,11,"207,455,905","614,126,581"
Paramount Players,11,"191,254,803","280,231,230"
TPS Star,11,"178,399,693","367,968,288"
Gilbert Films,11,"175,064,514","487,364,240"
Intrepid Pictures,11,"165,050,999","312,733,010"
A&E Indiefilms,11,"146,645,297","358,045,204"
40 Acres and a Mule Filmworks,11,"129,079,197","177,489,354"
PalmStar Media,11,"115,272,344","235,408,591"
Sierra Films,11,"93,876,327","175,133,734"
AGC,11,"56,865,561","124,520,976"
Benaroya Pictures,11,"56,330,948","97,665,774"
Channel 4,11,"31,551,495","92,812,593"
Fabula,11,"27,337,122","64,408,896"
Medusa Film,11,"25,873,440","212,531,710"
Prescience,11,"16,803,809","109,144,830"
X Filme Creative Pool,11,"16,382,959","68,432,542"
Sundial Pictures,11,"10,281,414","13,596,286"
Nexus Factory,11,"6,686,821","160,569,779"
La Region-Ile-de-France,11,"5,375,661","43,799,549"
Mandarin Cinema,11,"4,765,383","106,819,453"
The Exchange,11,"4,363,066","32,462,105"
K5 International,11,"3,519,393","17,799,343"
Media Programme of the European Union,11,"3,013,830","8,375,884"
Deutscher Filmfoerderfonds,11,"2,678,395","30,295,003"
BCDF Pictures,11,"2,149,764","15,909,321"
FilmRise,11,"1,601,365","1,917,492"
Movie Central,11,"1,426,682","7,835,166"
Cinema Libre Studio,11,"1,283,546","4,202,086"
VOO ET BETV,11,"1,198,103","48,066,291"
Elevated,11,"1,091,620","14,846,085"
The Corporation for Public Broadcasting,11,"680,631","1,041,742"
Fork Films,11,"308,219","354,457"
Bondit,11,"265,062","1,772,992"
Film Mode Entertainment,11,0,"40,555"
Kinberg Genre,10,"1,309,850,196","3,702,252,576"
Seven Bucks Productions,10,"770,872,787","2,499,478,766"
Gil Netter Productions,10,"714,491,535","1,482,984,757"
Flynn Picture Company,10,"300,212,753","1,153,017,672"
Protozoa Pictures,10,"274,697,173","812,480,009"
Pearl Street,10,"227,864,744","528,071,177"
Mr. Mudd,10,"207,575,892","325,548,064"
Mandalay Vision,10,"176,125,637","306,094,086"
Indian Paintbrush,10,"160,419,604","332,933,625"
Ruby Films,10,"127,195,724","251,727,440"
Star Thrower Entertainment,10,"121,194,133","230,950,318"
Liddell Entertainment,10,"97,251,358","118,374,887"
Route One,10,"95,156,116","141,147,107"
Phantom Four,10,"93,632,760","146,961,565"
Argent Pictures,10,"83,071,181","185,795,693"
Scion Films,10,"73,815,113","185,997,569"
Global Road Entertainment,10,"44,939,219","82,497,187"
TreeHouse Pictures,10,"41,683,857","103,702,960"
Well Go USA Entertainment,10,"39,843,925","1,474,625,582"
Archer Gray Productions,10,"34,213,505","52,007,723"
ARD/Degeto,10,"31,704,257","180,206,573"
Telecinco Cinema,10,"25,085,124","398,023,806"
Red Crown,10,"18,884,577","24,048,576"
Nostromo Pictures,10,"14,832,512","49,909,661"
Blinder Films,10,"14,777,634","22,772,489"
Screen Ireland,10,"10,862,548","19,978,742"
Diaphana,10,"9,893,509","67,820,180"
Rocket Science,10,"9,226,791","15,743,199"
The Bureau,10,"7,534,551","51,985,455"
Pinewood Pictures,10,"7,193,824","34,212,918"
UFund,10,"7,106,743","81,494,620"
Israel Film Fund,10,"4,823,972","8,038,972"
Greenwich Entertainment,10,"4,515,994","4,523,038"
EM Media,10,"4,155,175","29,297,914"
Komplizen,10,"3,783,692","16,404,116"
Beijing Enlight Pictures,10,"3,737,765","1,047,303,304"
Entre Chien et Loup,10,"3,544,444","21,753,887"
United King Films,10,"3,279,235","5,332,558"
Altitude Film Entertainment,10,"3,051,310","24,585,542"
Yari Film Group,10,"2,825,355","8,296,959"
INCAA,10,"1,604,810","12,421,706"
Fulcrum Media Finance,10,"1,299,607","9,751,753"
Snowfort Pictures,10,"1,051,077","1,765,667"
Bord Cadre,10,"899,779","3,262,839"
SND,10,"733,923","49,582,032"
NDR,10,"696,115","1,345,479"
Zipper Brothers,10,"660,959","688,380"
Motion Picture Capital,10,"148,636","14,987,915"
Buffalo Gal Pictures,10,"91,930","6,330,996"
Campfire,10,"36,520","106,961"
Kreo Films,10,"6,419","12,633,714"
42,10,0,"12,353,576"
Cleopatra Entertainment,10,0,"444,293"
PDI,9,"1,938,568,463","4,841,195,700"
Blinding Edge Pictures,9,"986,141,569","2,180,968,377"
Imprint Entertainment,9,"821,378,602","1,827,559,077"
Mace Neufeld,9,"748,460,578","1,420,638,155"
A Band Apart,9,"607,790,772","1,485,237,887"
Lawrence Gordon,9,"596,369,735","1,142,909,474"
Team Todd,9,"570,179,906","991,325,568"
Animal Logic,9,"428,191,278","994,586,515"
Contrafilm,9,"381,207,362","897,101,065"
Apatow Productions,9,"343,589,627","457,974,102"
Alcor Films,9,"319,629,315","481,129,315"
Mirage,9,"306,009,811","508,819,425"
Le Grisbi,9,"289,112,418","538,961,445"
Intermedia Film,9,"240,967,146","559,234,459"
QED International,9,"237,929,378","638,568,953"
Denver & Delilah Films,9,"146,145,980","269,637,636"
Paramount Vantage,9,"121,658,551","230,540,330"
Gran Via,9,"117,984,555","174,026,753"
LuckyChap Entertainment,9,"114,172,995","252,597,890"
Company Films,9,"104,266,728","312,807,916"
Hammer Films,9,"103,156,882","223,268,293"
Permut Presentations,9,"101,042,015","204,082,697"
MadRiver Pictures,9,"74,503,604","168,654,593"
National Geographic Entertainment,9,"70,968,080","159,112,533"
Ecosse Films,9,"67,768,156","190,094,142"
Endeavor Content,9,"56,695,297","72,865,110"
Parallel Films,9,"54,777,460","88,145,725"
FilmFour,9,"50,135,585","162,884,746"
Millennium Entertainment,9,"45,035,279","118,403,311"
