collection,number_of_movies,domestic_revenue,revnue,first_year,last_year,nu_of_years
Death Wish,5,"$62,808,612","$62,808,612",1974,1994,20
The Equalizer,2,"$203,615,100","$383,279,805",2014,2018,4
Conan,3,"$85,959,106","$168,870,218",1982,2011,29
The Red Curtain Trilogy,3,"$115,463,097","$338,480,969",1993,2001,8
Sony’s Marvel Universe,2,"$213,511,408","$853,628,605",2018,2021,3
Ghost Rider,2,"$167,576,598","$378,762,944",2007,2012,5
Diary of a Wimpy Kid,4,"$186,449,546","$263,488,777",2010,2017,7
The Croods,2,"$187,168,425","$573,068,425",2013,2020,7
"Crouching Tiger, Hidden Dragon",2,"$128,067,808","$251,967,653",2000,2016,16
The Hunchback of Notre Dame,1,"$100,138,851","$325,500,000",1996,1996,
Friday,4,"$117,897,755","$121,138,920",1995,2019,24
Hellboy,3,"$157,514,209","$300,998,501",2004,2019,15
Ernest,5,"$92,317,836","$92,317,836",1987,1993,6
Kill Bill,2,"$136,306,058","$330,005,410",2003,2004,1
Magic Mike,2,"$179,734,628","$294,210,350",2012,2015,3
Cats and Dogs,2,"$136,960,904","$313,726,383",2001,2010,9
Now You See Me,3,"$182,799,529","$671,094,207",2013,2020,7
Bridget Jones,3,"$135,843,381","$751,244,397",2001,2016,15
Riddick,3,"$138,972,974","$255,158,597",2000,2013,13
Kindergarten Cop,1,"$91,457,688","$202,000,000",1990,1990,
Stakeout,2,"$85,780,737","$85,780,737",1987,1993,6
Fletch,2,"$79,966,859","$79,966,859",1985,1989,4
Horrible Bosses,2,"$171,983,916","$318,362,958",2011,2014,3
Young Guns,2,"$88,870,054","$88,870,054",1988,1990,2
Bad Moms,2,"$185,367,956","$308,709,266",2016,2017,1
Purple Rain,2,"$72,955,755","$72,955,755",1984,1990,6
X-Files,2,"$104,880,791","$257,347,215",1998,2008,10
Blade Runner,2,"$124,710,487","$298,700,320",1982,2017,35
Major League,3,"$83,970,444","$83,970,444",1989,1998,9
A Quiet Place,2,"$188,024,361","$336,157,526",2018,2020,2
Shanghai Noon,2,"$117,402,525","$159,506,670",2000,2003,3
Are We There Yet?,2,"$132,336,931","$156,502,539",2005,2007,2
The Shining,2,"$76,150,343","$117,152,412",1980,2019,39
Percy Jackson,2,"$157,327,857","$423,910,428",2010,2013,3
The Heat,2,"$159,581,587","$229,727,774",2013,2016,3
The Boss Baby,2,"$175,003,033","$527,965,936",2017,2021,4
Untouchables,2,"$76,270,454","$76,270,454",1987,2010,23
Cloverfield,3,"$152,131,432","$279,588,648",2008,2018,10
Think Like a Man,2,"$156,575,892","$183,401,697",2012,2014,2
Anaconda,5,"$97,125,300","$207,325,300",1997,2009,12
View Askewniverse,8,"$106,636,675","$130,921,720",1994,2019,25
Meatballs,3,"$50,558,200","$50,558,200",1979,1987,8
Daddy Day Care,2,"$117,384,048","$182,495,459",2003,2007,4
Pacific Rim,2,"$161,677,431","$701,933,054",2013,2018,5
Bill & Ted,2,"$78,022,714","$78,022,714",1989,1991,2
AVP,2,"$122,078,162","$301,428,013",2004,2007,3
2001,2,"$100,936,321","$112,923,560",1968,1984,16
Problem Child,2,"$78,575,591","$97,375,595",1990,1991,1
Pet Sematary,2,"$74,561,632","$74,561,632",1989,1992,3
Backdraft,2,"$77,868,585","$152,368,585",1991,2019,28
Babe,2,"$81,978,770","$315,231,860",1995,1998,3
Dirty Dancing,2,"$78,032,904","$228,157,094",1987,2004,17
Planes,2,"$149,440,312","$394,459,213",2013,2014,1
Power Rangers,5,"$123,149,648","$182,149,496",1995,2017,22
Black Stallion,2,"$47,651,322","$47,651,322",1979,1983,4
Knives Out,2,"$165,363,254","$305,677,305",2019,2019,
Zombieland,2,"$148,708,416","$224,502,614",2009,2019,10
RED,2,"$143,642,722","$337,947,048",2010,2013,3
Revenge of the Nerds,4,"$63,516,485","$63,516,485",1984,1994,10
Species,2,"$79,272,014","$140,172,014",1995,1998,3
My Girl,2,"$74,570,585","$74,570,585",1991,1994,3
Wall Street,2,"$96,322,716","$181,279,719",1987,2010,23
Caddyshack,2,"$51,644,646","$51,648,066",1980,1988,8
Italian Job,1,"$106,126,012","$176,262,839",2003,2003,
American Tail,2,"$67,701,666","$67,701,666",1986,1991,5
Homeward Bound,2,"$74,542,747","$74,542,747",1993,1996,3
A Fish Called Wanda,2,"$72,747,184","$72,747,184",1988,1997,9
Transporter,4,"$116,137,035","$315,536,842",2002,2015,13
Gnomeo and Juliet,2,"$143,210,541","$281,265,628",2011,2018,7
American Werewolf,2,"$58,543,712","$88,543,712",1981,1997,16
The Angry Birds Movie,2,"$149,166,442","$502,788,857",2016,2019,3
Jack Reacher,2,"$138,767,812","$377,317,225",2012,2016,4
Garfield,3,"$103,794,440","$366,998,428",2004,2009,5
Crow,3,"$68,535,746","$68,535,746",1994,2005,11
Flatliners,2,"$78,191,268","$106,481,891",1990,2017,27
Peanuts,10,"$132,191,604","$252,104,803",1966,2015,49
Deuce Bigelow,2,"$87,935,221","$138,208,531",1999,2005,6
Save the Last Dance,1,"$91,038,276","$122,244,329",2001,2001,
Short Circuit,2,"$61,579,761","$61,579,761",1986,1988,2
Sonic The Hedgehog,1,"$146,066,470","$306,352,464",2020,2020,
Safe House,1,"$126,181,630","$208,542,162",2012,2012,
The Fox and the Hound,2,"$43,899,231","$43,899,231",1981,2006,25
El Mariachi,3,"$83,903,965","$124,987,843",1993,2003,10
Carrie,2,"$43,638,397","$43,638,397",1976,1999,23
Why Did I Get Married,3,"$115,300,377","$116,765,245",2006,2010,4
Scorpion King,3,"$90,580,000","$165,890,634",2002,2018,16
House Party,3,"$65,018,837","$65,018,837",1990,1994,4
Brady Bunch,2,"$67,989,371","$67,989,371",1995,1996,1
Ripley,2,"$81,292,135","$128,899,084",1999,2003,4
The Best Man,3,"$104,627,975","$107,408,490",1999,2016,17
Chinatown,3,"$35,099,705","$35,099,705",1974,1994,20
Pee Wee,3,"$56,062,986","$56,062,986",1985,2016,31
Breakin',2,"$51,100,000","$51,100,000",1984,1984,
Winnie the Pooh,6,"$86,744,277","$214,705,178",1977,2008,31
Fly,2,"$57,026,528","$57,026,528",1986,1989,3
Salt,1,"$118,311,368","$290,650,494",2010,2010,
Escape from New York,2,"$50,671,561","$50,672,786",1981,1996,15
Bean,2,"$78,636,336","$491,555,470",1997,2007,10
Unbroken,2,"$121,854,792","$169,744,721",2014,2018,4
Goosebumps,2,"$126,766,779","$252,196,802",2015,2018,3
Millennium (English),2,"$117,344,348","$274,357,312",2011,2018,7
Deep Blue Sea,2,"$73,648,228","$165,048,228",1999,2018,19
Dolphin Tale,2,"$114,311,312","$153,893,257",2011,2014,3
Brother Bear,2,"$85,336,277","$250,397,798",2003,2006,3
Mean Girls,2,"$86,047,227","$130,953,026",2004,2011,7
Jingle All the Way,2,"$60,592,389","$129,832,389",1996,2014,18
Inside Man,1,"$88,634,237","$185,798,265",2006,2006,
Paddington,2,"$117,115,169","$452,383,171",2014,2017,3
Dark Crystal,1,"$40,577,001","$40,577,001",1982,1982,
Whole Nine Yards,2,"$73,586,461","$111,851,836",2000,2004,4
Sin City,2,"$87,861,624","$199,178,760",2005,2014,9
Beverly Hills Chihuahua,3,"$94,514,402","$154,218,168",2008,2012,4
Open Season,4,"$85,105,259","$212,047,685",2006,2015,9
Last Picture Show,2,"$22,773,266","$22,773,266",1971,1990,19
Un homme et une femme,2,"$14,056,821","$14,056,821",1966,1986,20
Jeepers Creepers,3,"$75,763,138","$182,497,271",2001,2017,16
Road Trip,2,"$68,525,609","$119,739,110",2000,2009,9
Yogi Bear,1,"$100,246,011","$204,774,690",2010,2010,
