distributor,number_of_movies,budget,total_revenue,best_seller
IFC First Take, 24," $4,400,000"," $54,721,970", The Wind That Shakes the Barley
Wanda Media Group, 1, $0," $54,663,066", Kuai Ba Wo Ge Dai Zou
Swen Group, 3, $0," $53,824,372", Nada a Perder
Seville, 6, $0," $53,043,765", Monsieur Lazhar
JBG Pictures, 1, $0," $52,491,101", Leokki
High Top Releasing, 12," $2,541,667"," $52,410,793", The Green Inferno
Greenwich, 27, $0," $51,409,501", Free Solo
Good Deed Entertainment, 20," $3,750,000"," $50,391,594", Loving Vincent
Janus Films, 51," $5,933,333"," $50,380,895", La grande bellezza
Equinox, 2, $0," $50,181,056", Supercondriaque
New Yorker, 81," $5,175,000"," $50,089,207", To Be and To Have
Lorimar Motion Pictures, 8," $6,600,000"," $48,685,582", Action Jackson
Monterey Media, 72," $2,417,750"," $47,118,464", Home
Tartan Films, 20," $2,831,250"," $46,326,730", Chinjeolhan geumjassi
TriBeca Films, 71," $1,692,000"," $44,298,780", Les ?motifs anonymes
New Century Vista Film Company, 17," $4,700,000"," $43,629,160", The Gate
Jensen Farley Pictures, 6, $0," $42,279,927", Private Lessons
BH Tilt, 4," $9,979,000"," $42,178,414", Upgrade
B4U Movies, 12, $0," $41,432,937", Robot
Artists Releasing Corporation, 6, $0," $41,093,093", The Incubus
Focus / Gramercy, 1," $10,000,000"," $40,749,230", The Forest
Cinecom, 21," $3,000,000"," $40,392,557", A Room with a View
Dada Films, 19," $300,000"," $40,012,644", Jie jiu wu xian sheng
Atlas Distribution, 15," $6,000,000"," $37,517,425", Earth: One Amazing Day
Group 1, 3, $0," $36,771,620", The Sword and the Sorcerer
OTL Releasing, 3," $3,000,000"," $36,717,579", Unfriended: Dark Web
Capelight Pictures, 1, $0," $34,956,967", Namsaneui Bujangdeul
InterStar Releasing, 4," $6,000,000"," $34,809,802", Highlander II: The Quickening
Ledafilms, 1, $0," $34,299,855", Mia et le lion blanc
Radius, 12," $12,137,500"," $33,696,509", Solomon Kane
Analysis, 5," $350,000"," $33,422,549", Caligula
First Run Features, 227," $1,321,429"," $32,953,170", Plastic Planet
RS Entertainment, 3," $35,000,000"," $32,906,698", Luther
Abramorama Films, 114," $2,250,000"," $32,197,142", The Beatles: Eight Days a Week
