distributor,number_of_movies,budget,total_revenue,best_seller
MSK Productions, 1, $0," $11,581", American Streetballers
Waterdog Films, 1," $1,000,000"," $11,574", 16 to Life
Sony/BMG, 1, $0," $11,550", East of Havana
Cinema Epoch, 7, $0," $11,500", The Perfect Sleep
Mandt Brothers, 1, $0," $11,340", Last Stop for Paul
Cinema Four, 2, $0," $11,228", Cuba: Island of Music
Icon Film Distribution, 2, $0," $11,190", The Black Balloon
The Kids Are Alright Produc…, 1, $0," $11,183", Children of Invention
Psychic Girls, 1, $0," $11,089", Winning Girls Through Psychic Mind Co…
"Shoot First, Inc.", 1, $0," $11,021", Pay 2 Play: Democracy’s High Stakes
Newport Films, 1, $0," $11,001", The Conrad Boys
All Rise Films, 1, $0," $10,942", The Two Escobars
Silver Plane Films, 1, $0," $10,629", One More Round
Kino Classics, 1, $0," $10,600", Matrimonio all'italiana
Mochary Films, 1, $0," $10,565", Favela Rising
Autlook Films, 1, $0," $10,422", The Forecaster
Amor Media, 1, $0," $10,298", Painted Woman
Mirror Images Ltd, 2, $0," $10,104", Beta Test
City Drive Films, 1, $0," $10,021", The Life and Mind of Mark DeFriest
Red Flag Releasing, 5, $0," $10,000", The Do-Deca-Pentathlon
Kicking and Screening Media, 1, $0," $9,966", Foosballers
Arthur Davis Associates, 1, $0," $9,934", Olivia
Sumbadhat Productions, 2, $0," $9,914", The Bride & The Grooms
Bonfire Films of America, 1, $0," $9,796", Caucus
Mind the Gap, 1, $0," $9,496", Mind the Gap
Random Media, 6, $0," $9,386", Let's Get Frank
Diversa Films, 1, $0," $9,344", Skid Marks
Vanguardia Films, 1, $0," $9,338", 200 Cartas
Gemelli Productions, 1, $0," $9,244", What Happened Last Night
Atlas Media Group, 1, $0," $9,166", Robert Blecker Wants Me Dead
FilmMates Partners, 2, $0," $9,064", Living Life
Red Dirt Pictures, 1, $0," $8,752", Reparation
Lafayette Films, 1, $0," $8,443", Battle for Haditha
Laufer Films, 1, $0," $8,370", Christmas at Maxwell's
D Street Releasing, 2, $0," $8,340", Summer in Berlin
Sony/Triumph, 1, $0," $8,259", Zombie Strippers
Fox Meadow, 1," $989,000"," $8,158", And Then Came Love
The Talking Pictures Company, 1, $0," $8,030", Reunion
Iron Man Distr, 1, $0," $8,025", The Iron Man
Ford Films, 1, $0," $8,000", The Piccadilly Cowboy
Kanad?Films, 1, $0," $7,790", Crd
Microangelo Entertainment, 1, $0," $7,763", Zerophilia
Breakthrough Entertainment, 1, $0," $7,692", I’ll Take Your Dead
26 Aries, 1, $0," $7,500", The Lost Arcade
The Disinformation Co., 1, $0," $7,451", The Cult of the Suicide Bomber
Real Bean Entertainment, 1, $0," $7,137", Logan
Andes Film Company, 1, $0," $7,123", Mendy - A Question of Faith
JSenko Productions, 1, $0," $7,028", The Brainwashing of My Dad
The Documentary Group, 1, $0," $6,795", Operation Homecoming
Kanbar Entertainment, 1, $0," $6,793", Lifelines
Carpe Stella, 1, $0," $6,756", Calling All Earthlings
Liberation Entertainment, 1, $0," $6,627", Take
Brink Film, 1, $0," $6,607", The Last New Yorker
Afterlight Pictures, 3, $0," $6,523", Blood Ties
Bomnae Films, 1, $0," $6,522"," Autumn, Autumn"
Radio London Films, 1, $0," $6,404", Ten 'Til Noon
Atlantik Films, 1, $0," $6,176", Bes Vakit
Linn Productions, 1, $0," $6,109", Imprint
Summit Pictures, 2, $0," $6,007", Best F(r)iends: Volume One
World Wide Motion Pictures, 3, $0," $6,000", Red Roses and Petrol
Winter Star Entertainment, 1, $0," $5,673", Midnight Reckoning
Candy Factory Films, 3, $0," $5,654", This Isn't Funny
Putnam Square Films, 1, $0," $5,633", S?rie noire
Goodface Films, 1, $0," $5,588", The Quitter
Romantic Troubadour Enterta…, 1, $0," $5,508", Insidious
HB Filmworks, 2, $0," $5,442", George Bush Goes to Heaven
Baxter Brothers, 1, $0," $5,418", Flex is Kings
Hanover Multimedia, 1, $0," $4,950", SBK The-Movie
CameraPlanet/Discovery, 1, $0," $4,920", With All Deliberate Speed
Reel One Entertainment / Su…, 2, $0," $4,810", Blackhats
Frontier, 1, $0," $4,779", Street Fight
Big Fat Movies, 1," $3,000,000"," $4,655", My Big Fat Independent Movie
"Eliot Lives Productions, LLC", 1, $0," $4,345", Twisted: A Balloonamentary
Milestone, 2, $0," $4,294", My Brother's Wedding
Humble Pie Films, 1, $0," $4,227", Fancypants
Hybrid Pictures, 1, $0," $4,080", Silver Circle
The Nobility Project, 1, $0," $4,000", Building Hope
Ohio Street Pictures, 1, $0," $4,000", Things Never Said
Lonely Seal Releasing, 1, $0," $3,934"," The Cop, the Criminal and the Clown"
A-Mark Entertainment, 1, $0," $3,849", Camille
Dark Frames, 1, $0," $3,778", Unfreedom
Comedy Dynamics, 3, $0," $3,727", Charlotte a du fun: Charlotte has fun
Minority Films, 1, $0," $3,724", This Divided State
Scarlet Sky Productions, 1," $200,000"," $3,648", The Word
Plastic Age Productions, 1," $40,000"," $3,632", Raymond Did It
Hibernation Films, 1," $27,000"," $3,547", Emily
Brothers' Ink Productions, 1," $300,000"," $3,496", Locker 13
Industrial House Films, 1," $2,100,000"," $3,330", Mi America
Cinevista, 2, $0," $3,151", Caravaggio
Midwest Movies, 3, $0," $3,140", Balls to the Wall
Facets, 1, $0," $3,027", Los Muertos
Velvet Film, 1, $0," $3,000", Assistance mortelle
Rogue Arts, 1, $0," $2,841", Three Days of Rain
RMH Media/Dominion Entertai…, 1, $0," $2,509", Swing
Carnivalesque Films, 1, $0," $2,500", Mardi Gras: Made in China
Kaleidoscope Pictures, 3, $0," $2,500", Believe
Inyo Entertainment, 1, $0," $2,466", Neither Wolf Nor Dog
Amplify/Starz Digital Media, 1, $0," $2,455", Champs
Magic Lantern, 2, $0," $2,358", Porfirio
Bullz Eye, 2, $0," $2,268", Divine Intervention
Artsploitation, 1, $0," $2,250", Red Christmas
Plexifilm, 1, $0," $2,227", Moog
Reacter 88 Studios, 1, $0," $2,207", InSpectres
Anchor Bay/WWE Studios, 1, $0," $2,191", Road to Paloma
Movin' Picture Studios, 1, $0," $1,990", The Surfer King
Cinema Con Sabor, 1," $10,000"," $1,987", On the Downlow
Garvity Arch, 1, $0," $1,872", Bad Blood
JeTi Films, 2," $11,000"," $1,863", Grip: A Criminal's Story
Lumiere Productions, 1, $0," $1,806", With God on Our Side
Zell-Koj Studio, 1, $0," $1,739", Dark Forest
Left of Center Entertainmen…, 1, $0," $1,626", Truth
Cineville, 1, $0," $1,600", Steal Me
Wild Eye Releasing, 2, $0," $1,498", A Floresta das Almas Perdidas
Maverick Entertainment, 1, $0," $1,292", Once Upon a Time in the Hood
End of All Cinema, 1, $0," $1,262", Frog-g-g!
Capitol Films, 1, $0," $1,260", Incendiary
Level 33, 12, $0," $1,118", Urban Hymn
M Star International, 1, $0," $1,107", Hai Tang Hong
Kathi Arts, 1, $0," $1,042", Shwaas
Gunnison Galaxy, 1, $0, $903, Misfortune
Cinevolve Studios, 2, $0, $894, 12 in a Box
Oilrag Productions, 1, $0, $831, Doing Time for Patsy Cline
E1 Films, 1, $0, $500, Daydream Nation
Screenvision Media, 2, $0, $408, Hello Again
Lavender House Films, 1," $10,000", $401, The Rise and Fall of Miss Thang
Cinelicious Pics, 3, $0, $362, Dark Night
Grindstone Entertainment, 12," $500,000", $111, Vault
The American Film Company, 3, $0, $54, Against the Sun
Flying Zebra Films, 1, $0, $0,
Swipe Films, 1," $1,200,000", $0,
Bangor Films, 1, $0, $0,
TLC Films, 1, $0, $0,
Matter Productions, 1, $0, $0,
Profile Entertainment, 1, $0, $0,
Old Post Films, 1, $0, $0,
Miracle Mile Films, 1, $0, $0,
CTE, 1, $0, $0,
Imperia Entertainment, 1, $0, $0,
Garlin Pictures, 1, $0, $0,
Karma Films, 1, $0, $0,
Epoch/Pathfinder, 1, $0, $0,
Kidtoon Films, 2, $0, $0,
New Visions Fellowship, 1, $0, $0,
Whitewater Films, 1, $0, $0,
"Fat Films, LLC", 1, $0, $0,
Just Vision, 1, $0, $0,
Hannari Geisha Modern, 1, $0, $0,
Seneca International, 1, $0, $0,
At Risk Films, 1, $0, $0,
Iranian Film Society, 1, $0, $0,
Right Brained Releasing, 1, $0, $0,
Kosmic Films, 2, $0, $0,
Moderncine, 1, $0, $0,
AV Productions, 1, $0, $0,
Jung'n'Restless Films, 1, $0, $0,
Red Envelope, 1, $0, $0,
Amadeus Pictures, 1, $0, $0,
Mello Releasing, 1, $0, $0,
National Lampoon Distr., 2, $0, $0,
Media Education Foundation, 1, $0, $0,
Lifeline Entertainment, 1, $0, $0,
Resonance Pictures, 1, $0, $0,
Terra Entertainment, 1, $0, $0,
Creative Differences, 1, $0, $0,
Dokument Films, 1, $0, $0,
Sven Kahn Films, 1, $0, $0,
Pureland Pictures, 1, $0, $0,
Lightning Media, 1, $0, $0,
Bharat, 1, $0, $0,
Axis Company, 1, $0, $0,
Jonathan Blitstein Enterprises, 1, $0, $0,
Bleiberg Entertainment, 1, $0, $0,
Paul Devlin Productions, 1, $0, $0,
LG Entertainment Group, 1, $0, $0,
Here Films, 1, $0, $0,
RP Entertainment, 1, $0, $0,
Next Page Productions, 1, $0, $0,
Mainline Releasing, 1, $0, $0,
Concentrated Distribution, 1, $0, $0,
Wintersea Films, 1, $0, $0,
Original 4 Releasing, 1, $0, $0,
Iaba Films, 1, $0, $0,
Team Effort, 1, $0, $0,
"Last Night, LLC", 1, $0, $0,
San Simion Films, 1, $0, $0,
The Desert of Forbidden Art…, 1, $0, $0,
Reboot Media, 1," $2,600,000", $0,
Codex Pictures, 1," $8,900,000", $0,
RealD, 1, $0, $0,
Oakhurst Pictures, 1, $0, $0,
Bigfoot Ascendant, 2, $0, $0,
Paralux Productions, 1, $0, $0,
Crowd Starter, 1, $0, $0,
Satori, 2, $0, $0,
Clear Compass Media, 1, $0, $0,
Process Sudio Theatre, 1, $0, $0,
Exhibit A Pictures, 1, $0, $0,
Jeff Lipsky, 1, $0, $0,
LLeju Productions, 1, $0, $0,
Cross Cultural Entertainment, 1, $0, $0,
Paradigm, 1, $0, $0,
The Collective, 3, $0, $0,
Microcinema International, 1, $0, $0,
IndiePix, 1, $0, $0,
Nancy Fishman Releasing, 1, $0, $0,
Golf in the Kingdom, 1, $0, $0,
Films Transit, 1, $0, $0,
Green Planet Productions, 2, $0, $0,
Centro de Capacitaci?n Cin…, 1, $0, $0,
Initiate Productions, 1, $0, $0,
WWE Studios, 3, $0, $0,
W2 Media, 1, $0, $0,
Verdi Productions, 1, $0, $0,
D & E Entertainment, 3, $0, $0,
Lightning Entertainnment, 2, $0, $0,
Vanguard Cinema, 1, $0, $0,
Roam Films, 1, $0, $0,
Giant Flick Films LLC, 1, $0, $0,
Ask Around Entertainment, 1, $0, $0,
Eagle One Media/iFN, 1, $0, $0,
Artland, 1, $0, $0,
Angry Monkey Entertainment, 1, $0, $0,
African-American Film Festi…, 1, $0, $0,
PhD, 1, $0, $0,
Film Fatale, 1, $0, $0,
MVP Films, 1, $0, $0,
A & E Indie Films, 1, $0, $0,
BlinkWorks Media, 1," $100,000", $0,
Kushi Films, 1, $0, $0,
All Cash Productions/Archst…, 1, $0, $0,
First Pond Entertainment, 2, $0, $0,
Fever Productions, 1, $0, $0,
WG Films, 1, $0, $0,
Village Arts Pictures, 1, $0, $0,
Winning Edge Pictures, 1, $0, $0,
CLJ Films, 1, $0, $0,
Digital Magic Entertainment, 1, $0, $0,
TODpix, 1, $0, $0,
Gut Productions, 1, $0, $0,
Inception Media Group, 2, $0, $0,
Four Reel Films, 1, $0, $0,
Appleseed Entertainment, 1, $0, $0,
SModcast, 1, $0, $0,
Barnholtz Entertainment, 1, $0, $0,
Bad Kids Productions, 2, $0, $0,
Outcast Films, 1, $0, $0,
Blenheim Films, 1, $0, $0,
Independent Pictures/Entert…, 1, $0, $0,
Lipstick Pictures, 1, $0, $0,
VICE Films Snoopadelic Films, 1, $0, $0,
Ruth Diskin Films, 1, $0, $0,
Mactavish Pictures, 1, $0, $0,
Hole in the Wall Productions, 1, $0, $0,
Cinemark, 1, $0, $0,
Epix, 1, $0, $0,
Regal Entertainment, 1, $0, $0,
R-Squared Films, 1, $0, $0,
Horse Pictures, 1, $0, $0,
Alma Films, 1, $0, $0,
Drag City Film Distribution, 1, $0, $0,
Follow Your Nose, 1, $0, $0,
Leeden Media, 1, $0, $0,
Modern Distributors, 1, $0, $0,
Kreate Films, 1, $0, $0,
Active Fox Productions, 2, $0, $0,
Fingerprint Films, 1, $0, $0,
"GoDigital, Inc.", 2, $0, $0,
New Chapter Productions, 1, $0, $0,
Gaiam Vivendi Entertainment, 1, $0, $0,
Deep Studios, 1, $0, $0,
Wunderkind Pictures, 1, $0, $0,
Diggit Pictures, 1, $0, $0,
Shapkorn Birgade, 1, $0, $0,
Fern Films, 1, $0, $0,
Candor Entertainment, 1, $0, $0,
One Village Entertainment/R…, 1, $0, $0,
Devolver Digital Films, 1, $0, $0,
Artis Entertainment, 1," $50,000", $0,
Cinereach, 1, $0, $0,
Sideshow Releasing, 1, $0, $0,
Liberty Studios, 1, $0, $0,
Act Zero Films, 1, $0, $0,
American Experience Films, 1, $0, $0,
Quadratic, 1, $0, $0,
Green Step Productions/Grav…, 1, $0, $0,
Radar Studios, 1, $0, $0,
Insomniac/Focus Features, 1, $0, $0,
Videocine, 1, $0, $0,
Cornith Films, 1, $0, $0,
FilmBuff / Dada Films, 1, $0, $0,
A71 Entertainment, 6, $0, $0,
"Purdie Distribution, Excel …", 1, $0, $0,
Medient, 1, $0, $0,
Cedar Fort Entertainment, 1, $0, $0,
DigiNext, 3, $0, $0,
Tribeca Film / Well Go USA, 1," $5,000,000", $0,
Fluency Studios, 1, $0, $0,
Sovereignty Productions, 1," $800,000", $0,
Parkside Releasing, 2, $0, $0,
Morocco Junction Pictures, 1," $2,000,000", $0,
Abromarama/Vimeo, 1, $0, $0,
108 Media, 5, $0, $0,
Soda Pictures, 1," $26,000,000", $0,
Strasson Group, 2, $0, $0,
Plainview Pictures, 1, $0, $0,
Stage 6 Films/Vertical Ente…, 1, $0, $0,
Young Medium, 1, $0, $0,
Alaska Film LLC, 1, $0, $0,
Vice Media, 1, $0, $0,
Midnight Releasing, 1, $0, $0,
Blue Trail Entertianment, 1," $175,000", $0,
Holt Hamilton, 1, $0, $0,
Awesomeness Films, 1, $0, $0,
Array Releasing, 6, $0, $0,
Syndicado, 1, $0, $0,
Sweet Unknown Studios, 1, $0, $0,
Green Apple Entertainment, 1, $0, $0,
Passion River, 9, $0, $0,
Serafini Pictures, 1, $0, $0,
ZCDC, 1, $0, $0,
Marvista Entertainment, 3," $500,000", $0,
TriCoast Worldwide, 7, $0, $0,
Indelible Films, 1, $0, $0,
MVD Entertainment, 2, $0, $0,
Guerilla Films, 1, $0, $0,
Forager Films, 1, $0, $0,
4 Features Film Company, 1, $0, $0,
Dalton Pictures, 1, $0, $0,
Violet Crown Films, 1, $0, $0,
Swing State Film Productions, 1, $0, $0,
Vetter Brothers Filmworks, 1, $0, $0,
Cinemaflix, 3, $0, $0,
Cinema Paradiso, 1, $0, $0,
TomCat Films, 1, $0, $0,
Ubiquimedia, 1, $0, $0,
Bow and Arrow Entertainment, 1, $0, $0,
White Pine Pictures, 1, $0, $0,
Pacific Northwest Pictures, 1, $0, $0,
Anthology Film Archives, 3, $0, $0,
Provocator, 1, $0, $0,
Redwood Creek Entertainment, 1, $0, $0,
Real Women Make Waves, 1, $0, $0,
Skinfly Entertainment, 1, $0, $0,
50 Eggs Inc, 1, $0, $0,
Votiv Films, 1, $0, $0,
Go2Films, 1, $0, $0,
Maven Entertainment, 1, $0, $0,
Grey Lady, 1, $0, $0,
Sarkasmos Productions, 1, $0, $0,
Arcadia Releasing Group, 1, $0, $0,
Adler & Associates, 3, $0, $0,
Virgil Films, 2, $0, $0,
Ryan Bruce Levey Film Distr…, 1, $0, $0,
Thier Productions, 1, $0, $0,
Instrum International, 2, $0, $0,
Imagination Worldwide, 2, $0, $0,
Hybrid Entertainment, 1, $0, $0,
Indieflix, 1, $0, $0,
Shoe Box Money LLC, 1, $0, $0,
East Village Entertainment, 1, $0, $0,
Global Digital Releasing, 2, $0, $0,
HT Pictures, 1, $0, $0,
Carl Jackson Entertainment, 9," $40,000,000", $0,
Tandem Pictures, 1, $0, $0,
Indie Rights, 72, $0, $0,
First National Pictures, 3, $0, $0,
Millennium Films, 3, $0, $0,
Newcity, 1, $0, $0,
Obscured Pictures, 1, $0, $0,
Republic Pictures, 7, $0, $0,
Future Film Corporation of …, 1, $0, $0,
Faith Media Distribution, 1, $0, $0,
Well.Org, 1, $0, $0,
Cargo Film & Releasing, 1, $0, $0,
Cinerama, 16, $0, $0,
King Flex Entertainment, 5, $0, $0,
Fries Distribution Company, 1, $0, $0,
V-L-S-E, 1, $0, $0,
Blackbox Film & Media, 1, $0, $0,
Hydro Studios, 1, $0, $0,
Hollywood Independents, 1, $0, $0,
Zorya Films, 1, $0, $0,
Journeyman Pictures, 1, $0, $0,
Entertainment International…, 1, $0, $0,
Bandai Entertainment, 1, $0, $0,
Filmchella, 1, $0, $0,
Minds Eye International, 3, $0, $0,
NAI Entertainment, 1, $0, $0,
2B Films, 2, $0, $0,
Arena Cinelounge, 1, $0, $0,
U.S. Films, 1, $0, $0,
World Northal, 2, $0, $0,
United International Pictures, 1, $0, $0,
Europix International, 1, $0, $0,
Unmanned Media, 1, $0, $0,
Endeavor Content, 1, $0, $0,
House of Film, 1, $0, $0,
Cinema Village, 1, $0, $0,
Cambist Films, 3, $0, $0,
Black Sheep Stew, 1, $0, $0,
Film Chest Media Group, 1, $0, $0,
Dread Central, 1, $0, $0,
Two Roads, 1, $0, $0,
Different Drummer, 1, $0, $0,
SunWorld Pictures, 1, $0, $0,
Patriot Releasing, 1, $0, $0,
Monogram Pictures, 1, $0, $0,
Cinema National, 1, $0, $0,
N.M.D. Film Distribution Co…, 1, $0, $0,
New American Films, 1, $0, $0,
Skyline Entertainment, 1, $0, $0,
Scotia American, 4, $0, $0,
Conglomerate Media, 1, $0, $0,
Darkcoast, 1, $0, $0,
R3M USA, 1, $0, $0,
Kandoo Releasing, 2, $0, $0,
The Filmgroup, 1, $0, $0,
Glass House Distribution, 1, $0, $0,
North of Two, 1, $0, $0,
SP Releasing, 3, $0, $0,
Forrest Films, 2, $0, $0,
Hulu, 1, $0, $0,
Glass Half Full Media, 1, $0, $0,
Kew Media Group, 1, $0, $0,
XLI41, 2, $0, $0,
21st Century Distribution, 1, $0, $0,
Arbelos Films, 1, $0, $0,
Atonement Pictures, 1, $0, $0,
Malibu Bay Films, 4, $0, $0,
Independent-International P…, 1, $0, $0,
Solstice Studios, 1," $29,000,000", $0,
RYOT, 1, $0, $0,
Eagle Films, 1, $0, $0,
The American Film Theater, 1, $0, $0,
Brazos Films, 1, $0, $0,
Brat, 1, $0, $0,
U-M Film Distributors Inc., 1, $0, $0,
Sector 5 Films, 1, $0, $0,
"American Continental Films,…", 3, $0, $0,
ABC Pictures International, 2, $0, $0,
Mailer Tuchman Media, 1, $0, $0,
British International Pictures, 2, $0, $0,
CineLife Entertainment, 1, $0, $0,
Shochiku Films of America, 1, $0, $0,
Associated Artists Productions, 1, $0, $0,
Distributors Corporation of…, 1, $0, $0,
The Wynn Network, 1, $0, $0,
Apple TV+, 1, $0, $0,
High Octane Pictures, 2, $0, $0,
Artists Rights Distribution, 2, $0, $0,
Rock Studios, 1," $1,200,000", $0,
Fairway International Pictures, 1, $0, $0,
Cine Artists Pictures, 1, $0, $0,
Adventure Entertainment, 3, $0, $0,
Chevron Pictures, 1, $0, $0,
The End Productions, 1, $0, $0,
Maysles Film, 1, $0, $0,
Cloudburst Entertainment, 1, $0, $0,
New City Releasing, 1, $0, $0,
FanForce, 1, $0, $0,
Carolco, 1, $0, $0,
